"","model","metric","value","variable"
"1","rf","Accuracy",0.998072908302553,"building"
"2","rf","Kappa",0.99709277947055,"building"
"5","rf","Accuracy",0.995664043680745,"floor"
"6","rf","Kappa",0.994448310768063,"floor"
"9","rf","RMSE",3.72827124187709,"long"
"10","rf","Rsquared",0.999087721288745,"long"
"11","rf","MAE",1.67947826879462,"long"
"15","rf","RMSE",1.87565186670639,"lat"
"16","rf","Rsquared",0.999206167367998,"lat"
"17","rf","MAE",0.913855278189754,"lat"
"21","rf","RMSE",2.10899477898905,"long2"
"22","rf","Rsquared",0.999709118717545,"long2"
"23","rf","MAE",1.08092083035263,"long2"
