"","model","metric","value","variable"
"1","rf","Accuracy",0.99743013170575,"building"
"2","rf","Kappa",0.996123351034891,"building"
"5","rf","Accuracy",0.988428158148505,"floor"
"6","rf","Kappa",0.985180201948132,"floor"
"9","rf","RMSE",5.79016957878051,"long"
"10","rf","Rsquared",0.997819306247592,"long"
"11","rf","MAE",3.42320907191489,"long"
"15","rf","RMSE",3.98477142103729,"lat"
"16","rf","Rsquared",0.99647787140235,"lat"
"17","rf","MAE",2.11773074341424,"lat"
"21","rf","RMSE",4.33644398044726,"long2"
"22","rf","Rsquared",0.998764156814949,"long2"
"23","rf","MAE",2.50845084467201,"long2"
